Название пары,Текущая цена,Максимальная цена за сутки,Минимальная цена за сутки,Изменение цены за сутки,Изменение цены в процентах за сутки,Объем торгов за сутки
WRXBTC,0.00001000,0.00001005,0.00000982,0.00000007,0.705%,95015.60000000
WRXUSDT,0.20260000,0.20610000,0.20040000,-0.00220000,-1.074%,1790329.90000000
ICXBUSD,0.22370000,0.23280000,0.22160000,-0.00700000,-3.034%,1745239.20000000
BTSUSDT,0.01026000,0.01050000,0.01019000,-0.00020000,-1.912%,6885400.00000000
BTSBUSD,0.01930000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
LSKUSDT,0.96600000,0.98000000,0.95400000,-0.00500000,-0.515%,200852.40000000
BNTUSDT,0.47500000,0.49700000,0.44400000,0.02600000,5.791%,8603828.30000000
BNTBUSD,0.47300000,0.51100000,0.44400000,0.02700000,6.054%,3186771.00000000
LTOBNB,0.00248000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
LTOBTC,0.00000469,0.00000505,0.00000434,0.00000030,6.834%,13144976.00000000
LTOUSDT,0.09490000,0.10460000,0.08950000,0.00460000,5.094%,69227373.00000000
ATOMBUSD,13.36600000,13.84700000,12.50900000,0.40900000,3.157%,1598703.77000000
DASHBUSD,41.65000000,43.15000000,41.09000000,-0.67000000,-1.583%,12426.06700000
NEOBUSD,8.47000000,8.80000000,8.35000000,-0.24000000,-2.755%,29630.10000000
WAVESBUSD,3.20900000,3.36000000,3.16500000,-0.11900000,-3.576%,476165.34000000
XTZBUSD,1.41900000,1.46600000,1.39400000,-0.02800000,-1.935%,245340.30000000
EOSBULLUSDT,3.85000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
EOSBULLBUSD,3.90000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
EOSBEARUSDT,30.21000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
EOSBEARBUSD,29.81000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
XRPBULLUSDT,8.74000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
XRPBULLBUSD,8.78000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
XRPBEARUSDT,548.55000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
XRPBEARBUSD,547.33000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BATBUSD,0.28560000,0.29660000,0.28070000,-0.00830000,-2.824%,828611.00000000
ENJBUSD,0.43470000,0.45240000,0.42850000,-0.01520000,-3.379%,1222247.40000000
NANOBUSD,2.22500000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
ONTBUSD,0.21740000,0.22640000,0.21450000,-0.00630000,-2.816%,326471.00000000
RVNBUSD,0.03091000,0.03232000,0.03035000,-0.00139000,-4.303%,15103551.20000000
STRATBUSD,0.49150000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
STRATBNB,0.01900000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
STRATUSDT,0.49040000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
AIONBUSD,0.07210000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
AIONUSDT,0.04044000,0.04512000,0.04016000,-0.00106000,-2.554%,43995452.00000000
MBLBNB,0.00001202,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
MBLBTC,0.00000005,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
MBLUSDT,0.00315000,0.00324300,0.00313200,-0.00007900,-2.447%,85414336.00000000
COTIBNB,0.00035400,0.00037080,0.00035380,-0.00001310,-3.569%,72753.00000000
COTIBTC,0.00000506,0.00000520,0.00000502,-0.00000004,-0.784%,1390277.00000000
COTIUSDT,0.10230000,0.10710000,0.10080000,-0.00300000,-2.849%,21040174.00000000
ALGOBUSD,0.32350000,0.33880000,0.31950000,-0.01150000,-3.433%,8534983.00000000
BTTBUSD,0.00277800,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
TOMOBUSD,0.42290000,0.43350000,0.41660000,-0.00660000,-1.537%,122924.90000000
XMRBUSD,145.70000000,149.20000000,143.80000000,-1.20000000,-0.817%,9922.19600000
ZECBUSD,52.70000000,55.40000000,52.30000000,-2.10000000,-3.832%,6813.41000000
BNBBULLUSDT,57.21000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BNBBULLBUSD,58.37000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BNBBEARUSDT,58.61000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BNBBEARBUSD,57.21000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
STPTBNB,0.00067000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
STPTBTC,0.00000207,0.00000209,0.00000206,-0.00000001,-0.481%,528220.00000000
STPTUSDT,0.04185000,0.04316000,0.04163000,-0.00114000,-2.652%,6258030.90000000
BTCZAR,372889.00000000,383849.00000000,369292.00000000,-10960.00000000,-2.855%,9.92299000
ETHZAR,27743.00000000,29046.00000000,27446.00000000,-1013.00000000,-3.523%,35.94200000
BNBZAR,5000.00000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
USDTZAR,14.02300000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BUSDZAR,18.46000000,18.60000000,18.22000000,-0.09000000,-0.485%,104039.00000000
BTCBKRW,42029197.00000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
ETHBKRW,1277799.00000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BNBBKRW,44687.00000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
